hasy,startD,repeatVowels,presenceij,presence_dutch_frequent,presence_english_frequent,avgwordlength,startswithAvowel,hasdutch_diphtongs,hasnonEnglish,hasenglish_stopword,hasdutch_stopword,Lang,Length
1,1,1,0,1,1,0,1,0,0,1,1,1,35
0,1,0,0,0,0,0,0,1,1,0,0,0,21
1,1,1,0,0,1,0,0,1,1,1,1,1,38
1,0,0,0,0,1,0,0,1,0,1,1,1,23
1,0,0,0,0,1,0,0,1,0,1,1,1,23
1,1,1,0,1,1,0,0,1,0,1,1,1,23
0,1,0,0,0,0,0,0,1,1,0,1,0,30
1,1,0,0,0,1,0,0,1,0,1,1,1,31
1,0,0,0,0,1,0,0,1,0,1,1,1,30
1,0,0,0,0,1,0,0,1,0,1,1,1,25
1,0,1,0,1,1,0,1,0,1,1,1,1,22
1,1,1,0,0,1,0,1,1,0,1,1,1,22
1,1,0,0,1,1,0,0,1,1,1,1,1,24
1,1,0,0,0,1,0,0,1,0,1,1,1,31
1,0,1,0,0,1,0,0,1,1,1,1,1,39
1,1,0,0,0,1,0,0,1,0,1,1,1,31
1,1,0,0,0,1,0,0,1,0,1,1,1,22
1,0,0,0,0,1,0,0,1,0,1,0,1,30
0,1,1,0,0,1,0,0,1,1,1,1,1,21
0,0,0,0,0,1,0,0,0,0,1,1,1,29
0,1,0,0,0,0,0,0,1,1,1,0,0,23
0,1,0,0,0,1,0,0,1,1,1,1,0,23
0,1,0,0,0,1,0,1,1,0,1,1,1,25
0,0,0,0,1,1,0,0,0,0,1,1,1,21
1,0,0,0,0,1,0,1,1,0,1,1,1,21
1,1,0,0,0,1,0,1,1,1,1,1,0,21
0,1,1,0,1,1,0,0,1,0,1,1,1,22
1,1,0,0,0,1,0,0,1,1,1,1,1,24
0,1,0,0,0,1,0,0,1,1,1,1,0,40
0,1,0,0,0,1,0,1,1,1,1,1,0,21
0,1,1,0,0,0,0,0,1,0,0,1,0,33
0,0,0,0,0,1,0,0,1,0,1,1,1,26
1,1,1,0,0,1,0,0,0,0,1,1,1,28
1,0,0,0,0,1,0,0,1,0,1,1,1,21
1,0,0,0,0,1,0,0,1,0,1,1,1,25
1,1,1,0,1,1,0,0,0,0,1,1,1,42
1,0,0,0,0,1,0,0,0,0,1,1,1,26
0,1,0,0,0,1,0,0,1,1,1,1,0,25
